name,level1CategoryName,packageName
死亡楼梯车,模拟经营,https://app.mi.com/details?id=com.xph.swltc.mi
海盗突袭,休闲创意,https://app.mi.com/details?id=com.ynwl.hdtx.mi
上帝创造者,模拟经营,https://app.mi.com/details?id=com.xph.sdczz.mi
铁杆三国-登录领千抽,网游RPG,https://app.mi.com/details?id=com.xb.tgsgqd.mi
番茄聊天,聊天社交,https://app.mi.com/details?id=com.fqjbpqtz.fqjb
小米画报,实用工具,https://app.mi.com/details?id=com.mfashiongallery.emag
多乐保皇,棋牌桌游,https://app.mi.com/details?id=com.k7k7.BaoHuang.mi
火柴人英雄战士,休闲创意,https://app.mi.com/details?id=com.xph.hcryxzs.mi
躲猫猫,休闲创意,https://app.mi.com/details?id=com.lyxx.dmm.mi
米仓,实用工具,https://app.mi.com/details?id=com.micang.read
酷拍,摄影摄像,https://app.mi.com/details?id=com.gau.go.launcherex.theme.galaxy
数字填色涂鸦大师,休闲创意,https://app.mi.com/details?id=com.kingwin.numberpixel.mi
有佣有物,时尚购物,https://app.mi.com/details?id=com.yyywu.app
光之守望,网游RPG,https://app.mi.com/details?id=com.jys.gzsw.mi
365清理精灵,实用工具,https://app.mi.com/details?id=com.mop.cleaneveryday
二手车之家-买车卖车估值,时尚购物,https://app.mi.com/details?id=com.autohome.usedcar
董浩读书,学习教育,https://app.mi.com/details?id=cn.donghaodushu.eduappadnroid
手机放大镜,实用工具,https://app.mi.com/details?id=cn.jinrishuiyin.fangda
指尖上的环保,效率办公,https://app.mi.com/details?id=com.zsplat.zhijian
贝壳记账本-记账软件,金融理财,https://app.mi.com/details?id=com.shell.bill
成语宝典,学习教育,https://app.mi.com/details?id=com.cybd.cybdapp
召唤神兽：进化,休闲创意,https://app.mi.com/details?id=com.ynwl.zhssjh.mi
打墨,学习教育,https://app.mi.com/details?id=com.getwant.kisys
奥奇传说,休闲创意,https://app.mi.com/details?id=com.baitian.aqcs.aqcssy.mi
MIGO NTSC自动生成器软件,实用工具,https://app.mi.com/details?id=com.ntsc.app
台球风云,赛车体育,https://app.mi.com/details?id=com.yunbu.pool3.mi
云检bd端,实用工具,https://app.mi.com/details?id=cn.ysbang.spectrum
腾讯游戏管家-游戏启动黑科技,实用工具,https://app.mi.com/details?id=com.tencent.gamestick
智荟文水,新闻资讯,https://app.mi.com/details?id=com.qdgdcm.news.wenshui
番茄少年,实用工具,https://app.mi.com/details?id=net.qihoo.honghu
拆家我最快,休闲创意,https://app.mi.com/details?id=com.jy.cjwzk.mi
艺百,聊天社交,https://app.mi.com/details?id=com.sctjj.dance
疯狂酷跑传奇,格斗快打,https://app.mi.com/details?id=com.tdhd.fkkpcq.mi
王牌竞速,赛车体育,https://app.mi.com/details?id=com.netease.aceracer.mi
提词流量宝,摄影摄像,https://app.mi.com/details?id=com.xiangyou.teleprompter
最右,影音视听,https://app.mi.com/details?id=cn.xiaochuankeji.tieba
帝国史诗,战争策略,https://app.mi.com/details?id=com.yunbu.arkcraft2.mi
疯读极速版（原扎堆小说）,图书阅读,https://app.mi.com/details?id=com.cootek.literature
锦江在线,旅行交通,https://app.mi.com/details?id=com.jinjiangonline.shanghai.unify
慧停车+,旅行交通,https://app.mi.com/details?id=com.rpms.uaandroid
武圣屠龙-专属GM特权,网游RPG,https://app.mi.com/details?id=com.sqw.wstl.mi
奥托的历险,休闲创意,https://app.mi.com/details?id=com.ynwl.aetlx.mi
睡猫云仓,效率办公,https://app.mi.com/details?id=com.hongmu.warehouse
最强蜗牛-喜羊羊与灰太狼联动,休闲创意,https://app.mi.com/details?id=com.qc.zqwn.mi
360浏览器,实用工具,https://app.mi.com/details?id=com.qihoo.browser
游好多-2333乐园,休闲创意,https://app.mi.com/details?id=com.xi.quickgame.mi
斗罗大陆：武魂觉醒-送唐晨魂师,网游RPG,https://app.mi.com/details?id=com.hnzh.dldlwhjx.mi
